koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,1.0,1.625522174,2.38963,7969.0,799.7,9.73,1579.0,0,0
CANDIDATE,1.0,19.620346923,2.0038,21725.0,340.5,13.6,643.0,0,0
FALSE POSITIVE,0.0,7.544039,6.222,322.6,14.2,17.47,838.0,1,0
CONFIRMED,1.0,9.02930689,3.1449,1019.8,53.9,2.57,757.0,0,0
FALSE POSITIVE,0.053,10.328035714,7.7915,16918.0,636.8,13.28,843.0,0,1
CONFIRMED,1.0,143.2063047,8.9302,10566.0,138.8,8.9,308.0,0,0
CONFIRMED,0.95,6.164876,3.262,55.8,14.4,0.79,1021.0,0,0
CONFIRMED,0.745,60.32494216,6.6188,20280.0,347.2,12.19,411.0,0,0
CONFIRMED,,29.1598615,4.803,488.0,11.6,1.91,524.0,0,0
FALSE POSITIVE,0.0,1.540397253,2.1541,816.1,38.8,25.69,1470.0,0,0
FALSE POSITIVE,0.0,2.99025443,5.414,589.2,48.5,1.7,918.0,0,0
CONFIRMED,1.0,1.594745374,1.9604,15044.0,1009.3,11.3,1539.0,0,0
CONFIRMED,1.0,4.783002698,2.335,1008.7,70.6,2.5,886.0,0,0
CONFIRMED,1.0,20.50588921,4.0595,2105.5,78.5,3.41,518.0,0,0
CONFIRMED,1.0,3.340218842,1.9104,1632.6,71.6,2.03,656.0,0,0
FALSE POSITIVE,0.0,2.507089906,2.0067,1339.2,64.9,30.26,1326.0,0,1
CONFIRMED,1.0,18.64932728,4.4056,893.6,46.1,3.12,701.0,0,0
CONFIRMED,1.0,4.90144976,4.1654,140.7,50.6,1.7,1262.0,0,0
CONFIRMED,0.998,9.75192101,4.793,418.0,28.5,2.76,870.0,0,0
CONFIRMED,1.0,38.5576546,5.794,993.0,39.7,4.02,550.0,0,0
CONFIRMED,0.99,3.525632539,2.59959,22335.0,1996.7,11.58,975.0,0,0
CANDIDATE,1.0,34.84398644,2.9315,4523.6,76.8,7.61,511.0,0,0
CONFIRMED,1.0,7.748094239,3.5957,2472.1,113.2,5.52,964.0,0,0
CONFIRMED,1.0,23.96793669,3.827,1182.3,27.5,1.8,329.0,0,0
CONFIRMED,0.995,8.29561738,1.3421,824.3,17.9,1.82,469.0,0,0
CONFIRMED,1.0,8.11437482,2.2736,1558.0,56.4,2.1,460.0,0,0
FALSE POSITIVE,0.0,38.036729482,4.34617,82872.0,1300.0,27.5,500.0,0,1
CANDIDATE,0.0,4.64090031,35.512,2450.6,296.9,30.09,1155.0,0,0
FALSE POSITIVE,0.0,3.747838198,5.0642,616.0,138.2,13.65,1031.0,0,1
CONFIRMED,0.992,14.74914825,6.0995,430.2,107.4,2.89,874.0,0,0
CONFIRMED,1.0,21.81295996,4.3791,1175.4,37.8,3.38,639.0,0,0
FALSE POSITIVE,0.0,7.91936937,3.3148,15148.0,389.0,10.34,814.0,0,1
CANDIDATE,,1.028436523,1.8606,8098.0,89.6,72.77,1947.0,0,0
CONFIRMED,1.0,15.37562369,3.3169,15337.0,166.0,11.01,600.0,0,0
CONFIRMED,1.0,8.10363271,3.161,887.9,39.3,2.11,687.0,0,0
CONFIRMED,1.0,4.71510843,2.506,417.5,21.3,1.46,823.0,0,0
CONFIRMED,1.0,6.365839713,2.9721,780.7,70.8,2.44,914.0,0,0
FALSE POSITIVE,0.037,5.97581754,3.065,962.4,50.3,3.86,1047.0,0,0
FALSE POSITIVE,0.0,2.446737317,4.7211,1177.9,110.2,26.25,1261.0,0,0
CONFIRMED,1.0,3.04033046,1.8411,10859.0,568.2,8.99,1021.0,0,0
CONFIRMED,1.0,15.33528675,3.897,3081.4,86.6,5.0,610.0,0,0
CONFIRMED,0.998,7.95825328,4.377,50.0,14.7,1.06,1074.0,0,0
CONFIRMED,1.0,31.33046135,5.176,5073.8,117.2,6.5,481.0,0,0
FALSE POSITIVE,0.006,3.9043425,3.831,16228.0,323.4,12.28,1104.0,0,1
FALSE POSITIVE,0.0,9.286358079,3.49949,44791.0,1671.1,17.61,796.0,0,1
FALSE POSITIVE,0.0,3.951405455,2.1862,2453.9,117.2,31.44,1133.0,0,1
CONFIRMED,0.999,23.65369415,8.2183,3341.8,266.3,7.89,731.0,0,0
CONFIRMED,0.996,13.23352214,6.7372,504.6,49.1,3.06,888.0,0,0
CONFIRMED,0.997,6.15560285,4.9843,285.0,35.1,2.32,1146.0,0,0
CONFIRMED,1.0,2.090811305,3.388,115.9,19.9,1.62,1642.0,0,0
CONFIRMED,0.995,3.180027898,3.5797,120.3,50.4,1.53,1458.0,0,0
CONFIRMED,0.989,50.4467417,7.159,370.3,19.4,2.67,568.0,0,0
CONFIRMED,1.0,11.76307164,2.9076,1037.3,48.9,2.35,616.0,0,0
CONFIRMED,0.878,56.2279271,3.57,862.7,20.9,2.37,366.0,0,0
FALSE POSITIVE,0.0,2.384052875,3.0918,1268.1,50.5,17.06,1010.0,0,1
CONFIRMED,1.0,7.953547,2.6312,875.4,38.4,2.25,696.0,0,0
CONFIRMED,1.0,4.14451656,2.3421,391.8,22.8,1.48,864.0,0,0
